DRG Definition	Provider Id	Provider Name	Provider Street Address	Provider City	Provider State	Provider Zip Code	Hospital Referral Region Description	 Total Discharges 	 Average Covered Charges    Average Total Payments 	Average Medicare Payments
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	50396	SANTA BARBARA COTTAGE HOSPITAL	400 WEST PUEBLO	SANTA BARBARA	CA	93102	CA - Santa Barbara	53	$72,430.09 	$15,868.90 	$14,558.33 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	50425	KAISER FOUNDATION HOSPITAL - SACRAMENTO	2025 MORSE AVENUE	SACRAMENTO	CA	95825	CA - Sacramento	14	$42,662.50 	$13,058.21 	$12,090.21 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	50426	WEST ANAHEIM MEDICAL CENTER	3033 W ORANGE AVENUE	ANAHEIM	CA	92804	CA - Orange County	17	$51,197.88 	$12,439.70 	$11,648.17 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	50438	HUNTINGTON MEMORIAL HOSPITAL	100 W  CALIFORNIA BLVD	PASADENA	CA	91109	CA - Los Angeles	47	$92,996.57 	$15,003.72 	$14,200.95 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	50441	STANFORD HOSPITAL	300 PASTEUR DRIVE	STANFORD	CA	94305	CA - San Mateo County	44	$152,082.34 	$28,805.22 	$28,017.13 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	50444	MERCY MEDICAL CENTER	333 MERCY AVENUE	MERCED	CA	95340	CA - Modesto	40	$71,549.00 	$16,553.77 	$15,795.27 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	50454	UCSF MEDICAL CENTER	505 PARNASSUS AVE, BOX 0296	SAN FRANCISCO	CA	94143	CA - San Francisco	53	$135,314.66 	$30,412.15 	$28,854.96 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	50455	SAN JOAQUIN COMMUNITY HOSPITAL	2615 CHESTER AVENUE	BAKERSFIELD	CA	93301	CA - Bakersfield	52	$62,943.38 	$14,060.71 	$13,219.69 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	50457	ST MARY'S MEDICAL CENTER	450 STANYAN ST	SAN FRANCISCO	CA	94117	CA - San Francisco	15	$157,993.93 	$24,491.26 	$22,500.00 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	50464	DOCTORS MEDICAL CENTER	1441 FLORIDA AVENUE	MODESTO	CA	95350	CA - Modesto	38	$232,751.36 	$18,404.44 	$17,258.42 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	50468	MEMORIAL HOSPITAL OF GARDENA	1145 W REDONDO BEACH BLVD	GARDENA	CA	90247	CA - Los Angeles	15	$43,183.53 	$16,379.40 	$15,484.46 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	50471	GOOD SAMARITAN HOSPITAL	1225 WILSHIRE BOULEVARD	LOS ANGELES	CA	90017	CA - Los Angeles	29	$119,555.93 	$18,576.72 	$17,878.48 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	50481	WEST HILLS HOSPITAL & MEDICAL CENTER	7300 MEDICAL CENTER DR	WEST HILLS	CA	91307	CA - Los Angeles	20	$90,369.05 	$13,544.10 	$12,588.30 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	50485	LONG BEACH MEMORIAL MEDICAL CENTER	2801 ATLANTIC AVE	LONG BEACH	CA	90806	CA - Los Angeles	39	$89,044.25 	$16,815.51 	$15,949.61 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	50488	EDEN MEDICAL CENTER	20103 LAKE CHABOT ROAD	CASTRO VALLEY	CA	94546	CA - Alameda County	71	$83,857.12 	$18,388.98 	$16,430.35 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	50496	JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS	2540 EAST ST	CONCORD	CA	94520	CA - Contra Costa County	25	$135,623.12 	$16,165.84 	$15,247.24 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	50498	SUTTER AUBURN FAITH HOSPITAL	11815 EDUCATION STREET	AUBURN	CA	95603	CA - Sacramento	14	$52,632.14 	$18,589.78 	$9,770.57 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	50502	SAINT VINCENT MEDICAL CENTER	2131 W 3RD ST	LOS ANGELES	CA	90057	CA - Los Angeles	19	$81,870.52 	$18,005.00 	$17,233.84 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	50503	SCRIPPS MEMORIAL HOSPITAL - ENCINITAS	354 SANTA FE DRIVE	ENCINITAS	CA	92024	CA - San Diego	33	$52,029.42 	$13,449.72 	$10,676.84 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	50516	MERCY SAN JUAN MEDICAL CENTER	6501 COYLE AVE	CARMICHAEL	CA	95608	CA - Sacramento	49	$63,895.95 	$15,085.46 	$14,201.91 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	50523	SUTTER DELTA MEDICAL CENTER	3901 LONE TREE WAY	ANTIOCH	CA	94509	CA - Contra Costa County	18	$90,729.66 	$18,462.50 	$17,838.94 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	50534	JOHN F KENNEDY MEMORIAL HOSPITAL, INC	47-111 MONROE STREET	INDIO	CA	92201	CA - San Diego	12	$172,018.00 	$19,525.91 	$18,684.83 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	50541	KAISER FOUNDATION HOSPITAL - REDWOOD CITY	1150 VETERANS BOULEVARD	REDWOOD CITY	CA	94063	CA - San Mateo County	13	$42,142.38 	$14,612.30 	$13,925.53 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	50549	LOS ROBLES HOSPITAL & MEDICAL CENTER	215 W JANSS RD	THOUSAND OAKS	CA	91360	CA - Ventura	34	$100,238.17 	$21,279.02 	$13,224.29 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	50551	LOS ALAMITOS MEDICAL CENTER	3751 KATELLA AVENUE	LOS ALAMITOS	CA	90720	CA - Orange County	31	$124,663.32 	$13,612.70 	$12,740.45 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	50557	MEMORIAL  MEDICAL CENTER	1700 COFFEE RD	MODESTO	CA	95355	CA - Modesto	29	$95,378.68 	$13,746.79 	$12,806.86 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	50567	MISSION HOSPITAL REGIONAL MED CENTER	27700 MEDICAL CENTER RD	MISSION VIEJO	CA	92691	CA - Orange County	35	$98,117.57 	$15,348.31 	$14,520.31 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	50570	FOUNTAIN VALLEY REGIONAL HOSPITAL & MEDICAL CENTER	17100 EUCLID STREET	FOUNTAIN VALLEY	CA	92708	CA - Orange County	60	$94,122.88 	$17,316.38 	$16,492.63 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	50573	EISENHOWER MEDICAL CENTER	39-000 BOB HOPE DRIVE	RANCHO MIRAGE	CA	92270	CA - Palm Springs/Rancho M	60	$85,935.51 	$11,825.25 	$10,529.25 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	50581	LAKEWOOD REGIONAL MEDICAL CENTER	3700 E SOUTH ST	LAKEWOOD	CA	90712	CA - Los Angeles	23	$74,578.78 	$12,962.78 	$12,178.08 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	50586	CHINO VALLEY MEDICAL CENTER	5451 WALNUT AVE	CHINO	CA	91710	CA - San Bernardino	16	$32,813.56 	$14,637.43 	$13,710.00 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	50588	SAN DIMAS COMMUNITY HOSPITAL	1350 W COVINA BLVD	SAN DIMAS	CA	91773	CA - Los Angeles	13	$60,278.84 	$12,491.46 	$11,715.15 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	50599	UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER	2315 STOCKTON BOULEVARD	SACRAMENTO	CA	95817	CA - Sacramento	42	$162,831.35 	$28,518.88 	$22,888.21 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	50603	SADDLEBACK MEMORIAL MEDICAL CENTER	24451 HEALTH CENTER DRIVE	LAGUNA HILLS	CA	92653	CA - Orange County	36	$61,398.66 	$11,485.91 	$10,737.47 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	50604	KAISER FOUNDATION HOSPITAL-SAN JOSE	250 HOSPITAL PARKWAY	SAN JOSE	CA	95119	CA - San Jose	11	$55,156.90 	$15,032.36 	$13,700.36 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	50616	ST JOHNS PLEASANT VALLEY HOSPITAL	2309 ANTONIO AVE	CAMARILLO	CA	93010	CA - Ventura	11	$70,377.72 	$11,396.63 	$10,782.09 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	50624	HENRY MAYO NEWHALL MEMORIAL HOSPITAL	23845  MCBEAN PKWY	VALENCIA	CA	91355	CA - Los Angeles	19	$74,416.21 	$11,870.26 	$11,047.94 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	50625	CEDARS-SINAI MEDICAL CENTER	8700 BEVERLY BLVD	LOS ANGELES	CA	90048	CA - Los Angeles	112	$167,859.91 	$23,933.60 	$23,103.85 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	50636	POMERADO HOSPITAL	15615 POMERADO ROAD	POWAY	CA	92064	CA - San Diego	16	$62,076.87 	$12,023.50 	$11,021.31 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	70036	JOHN DEMPSEY HOSPITAL	263 FARMINGTON AVE	FARMINGTON	CT	6032	CT - Hartford	21	$19,669.95 	$19,222.76 	$18,474.19 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	50663	LOS ANGELES COMMUNITY HOSPITAL	4081 E OLYMPIC BLVD	LOS ANGELES	CA	90023	CA - Los Angeles	14	$60,176.07 	$18,506.42 	$17,543.00 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	50678	ORANGE COAST MEMORIAL MEDICAL CENTER	9920 TALBERT AVENUE	FOUNTAIN VALLEY	CA	92708	CA - Orange County	13	$84,505.38 	$14,311.69 	$13,443.30 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	50696	KECK HOSPITAL OF USC	1500 SAN PABLO ST	LOS ANGELES	CA	90033	CA - Los Angeles	12	$124,370.16 	$18,824.83 	$17,987.16 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	50701	SOUTHWEST HEALTHCARE SYSTEM	25500 MEDICAL CENTER DRIVE	MURRIETA	CA	92562	CA - San Diego	25	$38,766.64 	$13,292.68 	$12,393.48 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	50709	DESERT VALLEY HOSPITAL	16850 BEAR VALLEY RD	VICTORVILLE	CA	92395	CA - San Bernardino	17	$34,687.58 	$12,639.29 	$12,082.47 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	50724	BAKERSFIELD HEART HOSPITAL	3001 SILLECT AVENUE	BAKERSFIELD	CA	93308	CA - Bakersfield	12	$68,832.66 	$12,054.91 	$11,022.58 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	50737	GARFIELD MEDICAL CENTER	525 N GARFIELD AVE	MONTEREY PARK	CA	91754	CA - Los Angeles	31	$178,434.93 	$22,441.64 	$21,752.03 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	50739	CENTINELA HOSPITAL MEDICAL CENTER	555 EAST HARDY STREET	INGLEWOOD	CA	90301	CA - Los Angeles	123	$67,323.21 	$15,144.34 	$14,396.21 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	50740	MARINA DEL REY HOSPITAL	4650 LINCOLN BLVD	MARINA DEL REY	CA	90291	CA - Los Angeles	14	$63,002.85 	$11,092.64 	$10,214.64 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	50742	OLYMPIA MEDICAL CENTER	5900 WEST OLYMPIC BOULEVARD	LOS ANGELES	CA	90036	CA - Los Angeles	18	$104,338.05 	$13,635.16 	$12,884.05 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	50746	WESTERN MEDICAL CENTER SANTA ANA	1001 NORTH TUSTIN AVENUE	SANTA ANA	CA	92705	CA - Orange County	27	$77,568.74 	$16,862.44 	$15,902.88 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	50752	BROTMAN MEDICAL CENTER	3828 DELMAS TERRACE	CULVER CITY	CA	90231	CA - Los Angeles	18	$87,849.83 	$13,150.94 	$12,586.72 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	50755	SHERMAN OAKS HOSPITAL	4929 VAN NUYS BLVD	SHERMAN OAKS	CA	91403	CA - Los Angeles	14	$31,667.85 	$13,208.71 	$12,362.57 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	50757	ALVARADO HOSPITAL MEDICAL CENTER	6655 ALVARADO ROAD	SAN DIEGO	CA	92120	CA - San Diego	25	$40,382.28 	$12,247.56 	$11,595.48 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	50761	PROVIDENCE TARZANA MEDICAL CENTER	18321 CLARK STREET	TARZANA	CA	91356	CA - Los Angeles	41	$123,051.68 	$14,100.85 	$13,389.24 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	50764	SHASTA REGIONAL MEDICAL CENTER	1100 BUTTE ST	REDDING	CA	96001	CA - Redding	28	$51,267.78 	$13,509.85 	$12,627.28 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	60001	NORTH COLORADO MEDICAL CENTER	1801 16TH STREET	GREELEY	CO	80631	CO - Greeley	22	$40,852.59 	$13,485.68 	$10,372.59 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	60003	LONGMONT UNITED HOSPITAL	1950 MOUNTAIN VIEW AVENUE	LONGMONT	CO	80501	CO - Boulder	12	$38,640.58 	$10,505.25 	$9,669.58 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	60009	EXEMPLA LUTHERAN MEDICAL CENTER	8300 W 38TH AVE	WHEAT RIDGE	CO	80033	CO - Denver	15	$43,780.60 	$11,136.46 	$10,310.60 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	60010	POUDRE VALLEY HOSPITAL	1024 S LEMAY AVE	FORT COLLINS	CO	80524	CO - Fort Collins	22	$38,599.36 	$13,450.54 	$9,426.22 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	60012	CENTURA HEALTH-ST MARY CORWIN MEDICAL CENTER	1008 MINNEQUA AVE	PUEBLO	CO	81004	CO - Pueblo	11	$88,722.36 	$13,614.54 	$12,791.27 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	60015	CENTURA HEALTH-ST ANTHONY HOSPITAL	11600 WEST 2ND PLACE	LAKEWOOD	CO	80228	CO - Denver	57	$55,844.50 	$11,684.21 	$10,589.40 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	60020	PARKVIEW MEDICAL CENTER INC	400 W 16TH STREET	PUEBLO	CO	81003	CO - Pueblo	37	$50,993.62 	$11,258.48 	$10,316.10 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	60022	MEMORIAL HOSPITAL CENTRAL	1400 E BOULDER ST	COLORADO SPRING	CO	80909	CO - Colorado Springs	26	$40,809.61 	$11,954.11 	$11,131.84 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	60023	ST MARYS HOSPITAL AND MEDICAL CENTER	2635 N 7TH STREET	GRAND JUNCTION	CO	81502	CO - Grand Junction	28	$38,905.10 	$12,755.92 	$11,914.92 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	60024	UNIVERSITY OF COLORADO HOSPITAL ANSCHUTZ INPATIENT	12605 EAST 16TH AVENUE	AURORA	CO	80045	CO - Denver	28	$77,431.64 	$22,279.10 	$18,160.46 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	60027	BOULDER COMMUNITY HOSPITAL	1100 BALSAM AVENUE	BOULDER	CO	80304	CO - Boulder	16	$39,606.87 	$10,298.18 	$9,457.18 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	60031	CENTURA HEALTH-PENROSE ST FRANCIS HEALTH SERVICES	2222 N NEVADA AVE	COLORADO SPRING	CO	80907	CO - Colorado Springs	35	$37,409.88 	$10,342.08 	$9,311.91 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	60032	ROSE MEDICAL CENTER	4567 E 9TH AVENUE	DENVER	CO	80220	CO - Denver	13	$89,580.53 	$13,839.69 	$12,976.30 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	60034	SWEDISH MEDICAL CENTER	501 E HAMPDEN AVENUE	ENGLEWOOD	CO	80113	CO - Denver	81	$79,553.03 	$13,201.41 	$11,566.37 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	60064	CENTURA HEALTH-PORTER ADVENTIST HOSPITAL	2525 S DOWNING ST	DENVER	CO	80210	CO - Denver	13	$38,665.07 	$11,442.23 	$10,192.30 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	60100	MEDICAL CENTER OF AURORA, THE	1501 S POTOMAC ST	AURORA	CO	80012	CO - Denver	24	$72,729.33 	$12,517.79 	$10,453.16 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	60113	CENTURA HEALTH-LITTLETON ADVENTIST HOSPITAL	7700 S BROADWAY	LITTLETON	CO	80122	CO - Denver	19	$69,551.78 	$12,135.78 	$11,306.78 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	60119	MEDICAL CENTER OF THE ROCKIES	2500 ROCKY MOUNTAIN AVENUE	LOVELAND	CO	80538	CO - Greeley	12	$52,348.58 	$12,147.58 	$11,586.75 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	70001	HOSPITAL OF ST RAPHAEL	1450 CHAPEL ST	NEW HAVEN	CT	6511	CT - New Haven	52	$61,642.96 	$17,052.01 	$16,269.03 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	70002	ST FRANCIS HOSPITAL & MEDICAL CENTER	114 WOODLAND STREET	HARTFORD	CT	6105	CT - Hartford	80	$41,312.92 	$15,511.21 	$14,230.43 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	70005	WATERBURY HOSPITAL	64 ROBBINS ST	WATERBURY	CT	6721	CT - New Haven	26	$53,261.00 	$14,699.65 	$14,097.50 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	70006	STAMFORD HOSPITAL	30 SHELBURNE ROAD	STAMFORD	CT	6904	CT - Bridgeport	33	$63,717.18 	$17,290.45 	$16,373.96 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	70007	LAWRENCE & MEMORIAL HOSPITAL	365 MONTAUK AVE	NEW LONDON	CT	6320	CT - New Haven	39	$29,810.38 	$15,355.28 	$11,338.10 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	70010	BRIDGEPORT HOSPITAL	267 GRANT STREET	BRIDGEPORT	CT	6610	CT - Bridgeport	34	$55,831.11 	$18,499.26 	$15,533.38 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	70011	CHARLOTTE HUNGERFORD HOSPITAL	540 LITCHFIELD ST	TORRINGTON	CT	6790	CT - Hartford	16	$13,247.37 	$11,732.93 	$10,960.68 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	70016	SAINT MARYS HOSPITAL	56 FRANKLIN ST	WATERBURY	CT	6706	CT - New Haven	25	$32,084.88 	$15,531.20 	$14,561.52 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	70017	MIDSTATE MEDICAL CENTER	435 LEWIS AVE	MERIDEN	CT	6450	CT - New Haven	22	$31,002.04 	$12,644.95 	$11,674.54 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	70018	GREENWICH HOSPITAL ASSOCIATION	5 PERRYRIDGE RD	GREENWICH	CT	6830	CT - Bridgeport	34	$44,210.97 	$14,108.32 	$12,041.08 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	70019	MILFORD HOSPITAL, INC	300 SEASIDE AVENUE	MILFORD	CT	6460	CT - New Haven	12	$31,342.83 	$13,172.41 	$12,145.41 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	70020	MIDDLESEX HOSPITAL	28 CRESCENT ST	MIDDLETOWN	CT	6457	CT - Hartford	32	$48,082.40 	$12,288.43 	$11,342.31 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	70022	YALE-NEW HAVEN HOSPITAL	20 YORK ST	NEW HAVEN	CT	6504	CT - New Haven	93	$77,409.76 	$21,609.10 	$20,244.77 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	70024	WILLIAM W BACKUS HOSPITAL	326 WASHINGTON ST	NORWICH	CT	6360	CT - Hartford	18	$30,155.44 	$12,535.88 	$11,912.27 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	70025	HARTFORD HOSPITAL	80 SEYMOUR STREET	HARTFORD	CT	6102	CT - Hartford	143	$48,680.07 	$17,271.13 	$15,908.84 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	70027	MANCHESTER MEMORIAL HOSPITAL	71 HAYNES ST	MANCHESTER	CT	6040	CT - Hartford	12	$24,963.16 	$12,242.00 	$11,411.66 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	70028	ST VINCENT'S MEDICAL CENTER	2800 MAIN ST	BRIDGEPORT	CT	6606	CT - Bridgeport	29	$42,046.34 	$14,894.24 	$14,043.24 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	70031	GRIFFIN HOSPITAL	130 DIVISION ST	DERBY	CT	6418	CT - New Haven	13	$39,343.38 	$14,460.00 	$13,594.15 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	70033	DANBURY HOSPITAL	24 HOSPITAL AVE	DANBURY	CT	6810	CT - New Haven	47	$34,147.34 	$16,650.25 	$13,518.57 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	70034	NORWALK HOSPITAL ASSOCIATION	24 STEVENS STREET	NORWALK	CT	6856	CT - Bridgeport	37	$46,713.64 	$14,215.13 	$13,229.27 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	70035	HOSPITAL OF CENTRAL CONNECTICUT, THE	100 GRAND STREET	NEW BRITAIN	CT	6050	CT - Hartford	38	$33,929.97 	$13,819.21 	$13,053.94 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	80001	CHRISTIANA CARE HEALTH SERVICES, INC.	4755 OGLETOWN-STANTON ROAD	NEWARK	DE	19718	DE - Wilmington	192	$27,221.98 	$14,413.58 	$12,548.08 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	80003	ST FRANCIS HOSPITAL	7TH AND CLAYTON STS	WILMINGTON	DE	19805	DE - Wilmington	20	$32,885.25 	$12,983.50 	$12,040.25 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	80004	BAYHEALTH - KENT GENERAL HOSPITAL	640 S STATE STREET	DOVER	DE	19901	DE - Wilmington	47	$40,476.38 	$13,092.74 	$12,213.06 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	80007	BEEBE MEDICAL CENTER	424 SAVANNAH RD	LEWES	DE	19958	MD - Salisbury	30	$55,916.90 	$16,870.23 	$13,977.26 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	90001	GEORGE WASHINGTON UNIV HOSPITAL	900 23RD ST NW	WASHINGTON	DC	20037	DC - Washington	30	$106,102.90 	$19,586.06 	$17,173.43 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	90003	HOWARD UNIVERSITY HOSPITAL	2041 GEORGIA AVE NW	WASHINGTON	DC	20060	DC - Washington	11	$70,826.72 	$27,012.45 	$25,989.09 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	90004	GEORGETOWN UNIVERSITY HOSPITAL	3800 RESERVOIR RD	WASHINGTON	DC	20007	DC - Washington	70	$69,010.80 	$19,885.77 	$18,657.65 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	90006	PROVIDENCE HOSPITAL	1150 VARNUM ST NE	WASHINGTON	DC	20017	DC - Washington	38	$35,605.63 	$15,229.42 	$13,972.97 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	90011	WASHINGTON HOSPITAL CENTER	110 IRVING ST NW	WASHINGTON	DC	20010	DC - Washington	128	$57,675.75 	$16,601.86 	$15,067.35 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	100001	SHANDS JACKSONVILLE MEDICAL CENTER	655 W 8TH ST	JACKSONVILLE	FL	32209	FL - Jacksonville	58	$51,515.79 	$16,127.91 	$15,129.94 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	100002	BETHESDA MEMORIAL HOSPITAL	2815 S SEACREST BLVD	BOYNTON BEACH	FL	33435	FL - Fort Lauderdale	40	$66,228.17 	$12,107.75 	$11,045.05 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	100006	ORLANDO HEALTH	1414 S KUHL AVE	ORLANDO	FL	32806	FL - Orlando	104	$66,680.62 	$14,352.96 	$13,112.13 
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC	100007	FLORIDA HOSPITAL	601 E ROLLINS ST	ORLANDO	FL	32803	FL - Orlando	180	$69,499.64 	$13,645.76 	$12,186.08 
